Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
,April 2018,$228K,63,97,147,47,99.2%
,May 2018,$215K,83,118,178,38,100.2%
,June 2018,$216K,72,84,181,42,99.5%
,July 2018,$225K,91,81,173,40,99.4%
,August 2018,$238K,75,71,161,55,99.7%
,September 2018,$225K,61,70,159,50,98.9%
,October 2018,$218K,74,65,139,57,98.1%
,November 2018,$220K,55,48,125,47,98.5%
,December 2018,$205K,55,31,92,76,98.0%
,January 2019,$182K,39,57,105,56,98.6%
,February 2019,$215K,41,58,119,58,98.2%
,March 2019,$224K,60,85,136,47,99.7%
,April 2019,$229K,74,84,146,46,98.4%
,May 2019,$235K,84,100,152,47,99.7%
,June 2019,$240K,81,103,167,38,99.9%
,July 2019,$233K,81,84,161,44,99.9%
,August 2019,$211K,74,91,165,41,99.0%
,September 2019,$244K,76,97,176,51,99.4%
,October 2019,$236K,60,80,192,46,98.8%
,November 2019,$230K,66,63,173,55,98.9%
,December 2019,$210K,65,35,137,64,98.1%
,January 2020,$228K,48,50,129,71,97.2%
,February 2020,$239K,50,66,136,62,98.4%
,March 2020,$281K,68,69,134,55,99.0%
,April 2020,$254K,63,72,149,48,99.0%
,May 2020,$264K,74,84,142,44,99.3%
,June 2020,$263K,93,87,134,41,99.8%
,July 2020,$251K,85,84,127,44,100.1%
,August 2020,$272K,95,87,127,40,100.3%
,September 2020,$271K,79,80,114,40,100.3%
,October 2020,$272K,82,85,123,42,101.0%
,November 2020,$269K,64,50,100,45,100.2%
,December 2020,$259K,80,50,71,39,100.9%
,January 2021,$277K,45,50,73,45,99.6%
,February 2021,$254K,50,47,65,35,100.7%
,March 2021,$317K,65,77,83,37,101.6%
,April 2021,$296K,67,67,78,34,104.8%
,May 2021,$325K,61,78,83,35,104.6%
,June 2021,$300K,83,92,92,37,104.7%
,July 2021,$299K,93,108,105,35,104.7%
,August 2021,$300K,75,67,91,35,103.3%
,September 2021,$330K,77,65,86,37,101.2%
,October 2021,$305K,62,81,109,32,102.4%
,November 2021,$321K,65,64,99,38,102.1%
,December 2021,$285K,83,37,55,39,101.4%
,January 2022,$273K,33,46,62,42,101.3%
,February 2022,$340K,47,49,64,37,100.1%
,March 2022,$358K,56,60,65,34,106.0%
,April 2022,$366K,62,96,100,33,104.7%
,May 2022,$349K,72,97,115,34,105.7%
,June 2022,$342K,86,90,126,34,104.8%
,July 2022,$372K,86,86,123,37,101.6%
,August 2022,$350K,75,61,113,40,100.3%
,September 2022,$340K,75,80,123,36,100.8%
,October 2022,$318K,61,67,121,40,100.2%
,November 2022,$340K,51,30,99,46,99.7%
,December 2022,$348K,50,40,92,50,99.6%
,January 2023,$366K,33,54,98,55,98.7%
,February 2023,$360K,56,58,92,45,99.2%
,March 2023,$398K,72,51,78,43,100.8%
,April 2023,$430K,50,45,70,48,100.6%
,May 2023,$375K,51,63,79,36,101.7%
,June 2023,$377K,57,61,79,40,101.3%
,July 2023,$335K,51,75,94,39,102.8%
,August 2023,$365K,73,77,103,33,100.7%
,September 2023,$357K,54,66,109,38,102.0%
,October 2023,$340K,62,65,110,37,100.8%
,November 2023,$365K,53,61,122,45,98.8%
,December 2023,$345K,49,40,96,45,99.4%
,January 2024,$323K,48,49,97,73,98.6%
,February 2024,$365K,53,75,98,46,100.5%
,March 2024,$362K,62,62,104,36,101.4%
,April 2024,$374K,72,69,108,37,100.9%
,May 2024,$355K,65,79,120,36,100.3%
,June 2024,$405K,65,92,146,38,100.6%
,July 2024,$389K,61,63,128,39,100.4%
,August 2024,$400K,78,84,134,47,99.2%
,September 2024,$411K,61,68,132,39,99.8%
,October 2024,$375K,51,63,143,36,100.5%
,November 2024,$385K,54,58,137,67,98.7%
,December 2024,$382K,59,30,106,55,97.9%
,January 2025,$360K,35,45,107,60,98.2%
,February 2025,$353K,34,47,102,98,100.2%
"Denton, TX",January 2012,$130K,65,108,379,70,96.8%
,February 2012,$135K,55,151,422,92,96.8%
,March 2012,$137K,95,156,444,73,96.2%
,April 2012,$147K,100,143,461,69,97.4%
,May 2012,$142K,109,172,477,45,97.5%
,June 2012,$149K,133,169,481,59,96.5%
,July 2012,$153K,123,164,480,48,96.7%
,August 2012,$137K,139,130,450,41,97.4%
,September 2012,$142K,92,89,411,59,97.1%
,October 2012,$136K,112,92,354,70,97.0%
,November 2012,$142K,80,80,339,47,97.1%
,December 2012,$158K,79,89,296,73,97.5%
,January 2013,$153K,74,157,334,61,97.3%
,February 2013,$155K,95,158,348,46,96.9%
,March 2013,$153K,131,139,316,39,97.9%
,April 2013,$156K,134,207,365,31,98.3%
,May 2013,$155K,155,205,383,27,98.3%
,June 2013,$162K,168,203,380,27,98.3%
,July 2013,$169K,171,184,382,40,97.8%
,August 2013,$171K,164,179,391,35,98.0%
,September 2013,$165K,139,119,342,42,98.1%
,October 2013,$164K,140,114,314,46,97.9%
,November 2013,$158K,93,89,293,43,96.7%
,December 2013,$162K,97,73,254,56,97.1%
,January 2014,$168K,87,149,288,62,97.1%
,February 2014,$160K,90,130,288,36,98.3%
,March 2014,$163K,131,172,290,29,97.9%
,April 2014,$162K,143,173,285,29,97.9%
,May 2014,$165K,144,222,326,30,98.4%
,June 2014,$182K,182,188,323,28,98.2%
,July 2014,$170K,185,200,353,26,98.2%
,August 2014,$172K,158,151,320,25,98.3%
,September 2014,$172K,137,122,289,31,97.9%
,October 2014,$186K,125,117,269,34,98.0%
,November 2014,$180K,94,100,240,41,98.7%
,December 2014,$174K,117,74,214,34,97.6%
,January 2015,$168K,66,103,217,38,97.3%
,February 2015,$180K,83,104,219,28,98.8%
,March 2015,$187K,119,144,227,23,98.8%
,April 2015,$195K,111,163,234,22,99.4%
,May 2015,$198K,140,174,242,19,99.8%
,June 2015,$196K,169,246,302,20,100.2%
,July 2015,$187K,197,254,345,18,99.8%
,August 2015,$195K,192,170,323,22,99.6%
,September 2015,$199K,149,176,331,32,98.4%
,October 2015,$207K,136,128,306,32,98.9%
,November 2015,$201K,100,128,292,40,98.0%
,December 2015,$205K,135,107,275,27,99.3%
,January 2016,$192K,77,128,278,29,99.5%
,February 2016,$200K,119,148,262,28,99.4%
,March 2016,$225K,155,170,274,29,99.0%
,April 2016,$220K,151,177,265,26,100.0%
,May 2016,$225K,162,191,294,20,99.9%
,June 2016,$239K,158,193,305,23,99.7%
,July 2016,$224K,171,184,313,20,100.1%
,August 2016,$218K,155,167,308,21,99.6%
,September 2016,$228K,171,118,249,27,99.0%
,October 2016,$225K,142,137,245,28,99.0%
,November 2016,$230K,125,103,199,28,98.9%
,December 2016,$230K,123,84,169,25,99.0%
,January 2017,$238K,74,125,190,32,98.9%
,February 2017,$224K,99,141,201,24,100.0%
,March 2017,$235K,124,184,229,20,99.2%
,April 2017,$240K,141,200,258,20,100.3%
,May 2017,$244K,170,222,294,20,100.8%
,June 2017,$243K,158,223,306,21,100.3%
,July 2017,$240K,194,237,353,22,100.3%
,August 2017,$227K,182,219,375,25,99.4%
,September 2017,$240K,168,159,338,29,99.3%
,October 2017,$239K,140,159,321,30,98.7%
,November 2017,$239K,126,133,299,35,99.3%
,December 2017,$239K,157,99,245,39,98.9%
,January 2018,$242K,94,150,255,28,99.5%
,February 2018,$242K,124,149,260,26,99.4%
,March 2018,$249K,150,186,276,26,100.3%
,April 2018,$250K,155,222,309,19,100.0%
,May 2018,$250K,194,204,312,20,99.6%
,June 2018,$258K,207,213,328,24,99.9%
,July 2018,$263K,157,222,354,32,99.1%
,August 2018,$253K,175,206,392,23,99.5%
,September 2018,$245K,125,144,387,22,99.1%
,October 2018,$255K,137,138,356,50,98.3%
,November 2018,$250K,125,122,340,50,98.7%
,December 2018,$255K,111,99,306,49,98.4%
,January 2019,$261K,81,144,326,47,98.3%
,February 2019,$260K,102,150,337,53,98.4%
,March 2019,$253K,132,190,354,30,98.9%
,April 2019,$254K,162,217,378,36,98.7%
,May 2019,$268K,170,229,421,27,99.3%
,June 2019,$264K,162,219,453,39,98.4%
,July 2019,$255K,183,193,429,32,98.7%
,August 2019,$266K,183,158,405,40,98.7%
,September 2019,$253K,127,167,401,41,98.5%
,October 2019,$255K,157,144,378,45,98.9%
,November 2019,$263K,118,143,386,49,98.2%
,December 2019,$256K,148,88,311,34,98.4%
,January 2020,$275K,101,144,299,51,98.2%
,February 2020,$257K,139,175,325,47,98.3%
,March 2020,$265K,130,185,332,39,98.5%
,April 2020,$269K,130,173,357,24,98.7%
,May 2020,$255K,149,185,336,27,99.0%
,June 2020,$265K,181,208,338,32,99.0%
,July 2020,$276K,209,254,356,32,99.5%
,August 2020,$268K,186,188,320,24,99.6%
,September 2020,$272K,199,174,289,26,99.2%
,October 2020,$269K,176,168,257,28,98.6%
,November 2020,$280K,174,150,213,22,99.3%
,December 2020,$279K,194,112,167,28,99.0%
,January 2021,$286K,110,123,147,31,99.8%
,February 2021,$290K,112,97,122,21,100.0%
,March 2021,$295K,148,165,147,23,100.8%
,April 2021,$318K,154,172,135,14,102.6%
,May 2021,$317K,155,172,134,13,103.4%
,June 2021,$336K,173,190,153,14,104.8%
,July 2021,$325K,163,210,188,14,104.6%
,August 2021,$326K,160,178,171,17,103.0%
,September 2021,$323K,179,184,195,19,102.5%
,October 2021,$338K,174,154,175,19,103.0%
,November 2021,$333K,142,129,153,19,102.3%
,December 2021,$346K,140,89,119,20,102.7%
,January 2022,$359K,104,110,104,19,103.5%
,February 2022,$366K,99,117,113,17,103.6%
,March 2022,$390K,137,166,128,14,104.6%
,April 2022,$405K,145,201,160,13,106.2%
,May 2022,$381K,136,231,196,13,106.7%
,June 2022,$401K,157,261,272,14,104.2%
,July 2022,$410K,176,246,335,15,102.7%
,August 2022,$409K,205,198,365,19,100.3%
,September 2022,$387K,164,181,346,25,98.8%
,October 2022,$390K,142,173,372,29,98.5%
,November 2022,$373K,92,153,400,34,98.8%
,December 2022,$360K,124,103,355,42,97.3%
,January 2023,$355K,88,114,309,56,98.4%
,February 2023,$378K,127,103,244,62,97.9%
,March 2023,$380K,156,154,241,60,98.5%
,April 2023,$384K,133,183,279,29,98.4%
,May 2023,$392K,164,224,304,27,99.6%
,June 2023,$385K,181,218,322,25,99.4%
,July 2023,$398K,149,190,355,30,98.8%
,August 2023,$385K,157,169,350,34,98.7%
,September 2023,$372K,154,161,362,38,98.4%
,October 2023,$395K,104,127,364,39,98.5%
,November 2023,$377K,103,116,347,46,97.8%
,December 2023,$370K,111,106,312,46,97.9%
,January 2024,$383K,102,180,344,60,97.9%
,February 2024,$370K,123,146,325,41,99.1%
,March 2024,$409K,140,176,360,41,98.4%
,April 2024,$378K,139,204,380,31,98.4%
,May 2024,$399K,169,175,391,26,99.1%
,June 2024,$405K,131,203,432,32,98.6%
,July 2024,$388K,123,169,424,32,98.9%
,August 2024,$407K,117,154,433,41,98.1%
,September 2024,$402K,116,156,461,50,98.4%
,October 2024,$398K,140,189,481,43,96.7%
,November 2024,$398K,126,109,444,60,97.8%
,December 2024,$370K,100,103,398,74,97.8%
,January 2025,$360K,80,153,409,69,97.6%
,February 2025,$365K,109,196,427,70,97.5%
"Douglasville, GA",January 2012,$90K,38,73,281,85,91.9%
,February 2012,$69K,47,72,272,87,92.3%
,March 2012,$66K,49,106,292,84,96.3%
,April 2012,$64K,65,59,257,90,96.8%
,May 2012,$54K,60,70,252,39,100.4%
,June 2012,$60K,41,64,234,50,98.2%
,July 2012,$60K,43,62,218,75,96.1%
,August 2012,$89K,56,67,198,52,96.3%
,September 2012,$85K,66,96,231,49,97.2%
,October 2012,$100K,51,58,213,41,98.6%
,November 2012,$109K,48,64,223,61,99.4%
,December 2012,$154K,48,40,198,61,97.5%
,January 2013,$96K,40,41,162,53,100.5%
,February 2013,$87K,52,59,164,67,99.9%
,March 2013,$143K,28,77,176,62,96.5%
,April 2013,$89K,44,78,200,41,101.0%
,May 2013,$123K,58,88,211,36,99.2%
,June 2013,$138K,62,75,232,26,100.7%
,July 2013,$134K,60,72,230,39,99.2%
,August 2013,$142K,45,75,237,57,98.3%
,September 2013,$96K,39,66,240,35,98.7%
,October 2013,$138K,51,78,249,40,100.8%
,November 2013,$103K,38,60,249,79,97.4%
,December 2013,$118K,51,32,234,70,97.3%
,January 2014,$172K,29,56,227,81,95.6%
,February 2014,$106K,31,66,230,53,98.0%
,March 2014,$143K,43,86,238,77,98.9%
,April 2014,$149K,48,80,248,66,98.6%
,May 2014,$140K,33,72,252,39,98.4%
,June 2014,$145K,46,82,255,60,96.7%
,July 2014,$103K,49,83,281,32,95.8%
,August 2014,$108K,47,102,301,39,95.1%
,September 2014,$176K,42,75,321,45,99.1%
,October 2014,$151K,32,82,326,32,96.3%
,November 2014,$176K,36,29,314,32,96.5%
,December 2014,$147K,41,60,312,61,97.1%
,January 2015,$125K,27,81,292,91,94.7%
,February 2015,$152K,48,76,291,97,95.9%
,March 2015,$125K,59,95,298,104,96.9%
,April 2015,$150K,61,75,287,61,97.5%
,May 2015,$128K,46,117,344,45,96.9%
,June 2015,$136K,48,124,375,59,95.4%
,July 2015,$155K,59,99,386,73,96.7%
,August 2015,$151K,63,113,390,84,95.4%
,September 2015,$149K,66,89,387,88,96.2%
,October 2015,$131K,45,74,365,97,95.8%
,November 2015,$142K,47,52,339,117,89.2%
,December 2015,$162K,67,72,320,83,96.5%
,January 2016,$146K,50,76,322,106,97.1%
,February 2016,$154K,50,79,313,82,97.3%
,March 2016,$166K,72,96,308,102,96.9%
,April 2016,$141K,64,107,322,53,95.4%
,May 2016,$177K,74,95,316,58,97.2%
,June 2016,$178K,75,117,349,75,98.0%
,July 2016,$174K,68,86,354,71,97.6%
,August 2016,$180K,67,81,337,77,98.4%
,September 2016,$183K,58,96,316,79,97.5%
,October 2016,$177K,67,62,298,66,97.4%
,November 2016,$187K,46,57,275,75,95.5%
,December 2016,$175K,63,56,251,108,97.1%
,January 2017,$142K,39,64,231,66,97.1%
,February 2017,$161K,56,93,238,73,97.4%
,March 2017,$175K,74,130,266,48,97.1%
,April 2017,$180K,61,82,259,53,97.0%
,May 2017,$172K,76,166,314,39,97.2%
,June 2017,$181K,80,96,330,37,99.6%
,July 2017,$207K,65,99,343,63,99.0%
,August 2017,$187K,66,80,328,57,97.6%
,September 2017,$175K,58,63,316,49,96.8%
,October 2017,$166K,56,69,288,43,97.0%
,November 2017,$185K,47,50,238,56,96.6%
,December 2017,$193K,69,40,183,58,97.9%
,January 2018,$175K,46,61,167,74,97.5%
,February 2018,$194K,58,62,152,64,97.3%
,March 2018,$196K,74,103,164,61,97.7%
,April 2018,$173K,50,93,165,38,99.1%
,May 2018,$205K,75,90,172,30,97.3%
,June 2018,$192K,67,128,208,24,99.1%
,July 2018,$190K,80,119,246,22,98.5%
,August 2018,$200K,84,89,237,30,97.6%
,September 2018,$224K,52,68,227,28,99.8%
,October 2018,$175K,53,72,216,33,98.8%
,November 2018,$205K,49,58,194,50,99.1%
,December 2018,$183K,62,46,182,29,96.3%
,January 2019,$190K,35,84,192,47,97.0%
,February 2019,$208K,42,63,184,56,98.8%
,March 2019,$225K,69,94,192,31,97.4%
,April 2019,$208K,60,95,198,25,98.3%
,May 2019,$197K,67,90,199,17,98.6%
,June 2019,$226K,60,93,205,31,97.9%
,July 2019,$210K,75,100,222,29,98.9%
,August 2019,$219K,62,88,217,37,98.1%
,September 2019,$192K,66,85,224,26,98.1%
,October 2019,$214K,57,84,212,34,98.3%
,November 2019,$239K,54,55,209,50,97.6%
,December 2019,$220K,48,39,180,37,96.9%
,January 2020,$234K,41,71,177,62,97.9%
,February 2020,$221K,61,72,161,45,97.6%
,March 2020,$225K,71,68,159,44,98.4%
,April 2020,$235K,46,52,148,35,98.9%
,May 2020,$242K,46,73,133,50,98.3%
,June 2020,$199K,71,73,112,22,99.0%
,July 2020,$215K,75,63,94,19,99.1%
,August 2020,$223K,56,69,103,21,98.5%
,September 2020,$220K,61,58,83,19,98.2%
,October 2020,$245K,67,65,81,17,99.5%
,November 2020,$230K,48,53,84,11,99.9%
,December 2020,$240K,67,61,76,19,99.7%
,January 2021,$247K,43,47,63,11,99.7%
,February 2021,$257K,38,60,69,17,100.0%
,March 2021,$239K,54,78,65,12,100.0%
,April 2021,$260K,73,94,68,14,99.8%
,May 2021,$299K,79,51,60,9,100.3%
,June 2021,$253K,51,78,74,15,102.5%
,July 2021,$264K,68,80,83,9,100.5%
,August 2021,$268K,74,94,87,8,103.7%
,September 2021,$310K,69,59,74,15,100.7%
,October 2021,$320K,55,101,97,16,100.9%
,November 2021,$275K,67,62,97,13,100.6%
,December 2021,$317K,64,52,82,14,101.5%
,January 2022,$304K,50,60,72,18,100.9%
,February 2022,$315K,47,66,79,17,99.5%
,March 2022,$354K,56,53,58,14,102.1%
,April 2022,$306K,62,72,67,13,102.7%
,May 2022,$387K,51,79,89,12,102.4%
,June 2022,$325K,53,85,101,12,101.6%
,July 2022,$383K,57,83,139,13,100.0%
,August 2022,$370K,42,87,161,22,97.5%
,September 2022,$325K,39,83,180,22,97.5%
,October 2022,$358K,45,63,165,36,97.6%
,November 2022,$320K,49,61,162,42,97.0%
,December 2022,$329K,39,46,142,47,99.3%
,January 2023,$265K,29,61,137,75,98.5%
,February 2023,$329K,32,52,124,62,95.0%
,March 2023,$292K,43,62,124,17,99.5%
,April 2023,$300K,39,67,138,59,99.4%
,May 2023,$311K,40,45,124,53,98.2%
,June 2023,$330K,39,85,136,42,99.0%
,July 2023,$310K,44,65,133,22,101.6%
,August 2023,$350K,51,62,142,35,98.3%
,September 2023,$374K,33,67,165,45,98.2%
,October 2023,$365K,31,63,166,38,98.1%
,November 2023,$345K,40,35,137,31,97.7%
,December 2023,$337K,27,32,121,39,98.4%
,January 2024,$387K,30,27,92,72,98.2%
,February 2024,$358K,36,40,99,73,99.5%
,March 2024,$357K,28,80,138,29,99.4%
,April 2024,$306K,37,75,148,66,97.9%
,May 2024,$360K,48,76,173,33,99.4%
,June 2024,$373K,56,78,178,42,99.0%
,July 2024,$351K,63,70,184,38,97.0%
,August 2024,$336K,40,58,167,51,99.4%
,September 2024,$380K,63,53,153,55,98.6%
,October 2024,$365K,49,50,165,62,97.7%
,November 2024,$335K,26,38,155,56,98.2%
,December 2024,$385K,40,39,147,61,97.3%
,January 2025,$380K,17,45,157,77,98.9%
,February 2025,$380K,32,49,158,45,98.3%
"Eagle Mountain, UT",January 2012,$144K,30,55,231,140,101.5%
,February 2012,$150K,33,51,236,101,99.5%
,March 2012,$173K,33,66,240,148,101.4%
,April 2012,$178K,43,91,276,90,100.3%
,May 2012,$165K,56,54,248,99,100.2%
,June 2012,$170K,43,52,246,86,100.8%
,July 2012,$176K,48,43,220,100,100.8%
,August 2012,$188K,40,81,248,126,99.9%
,September 2012,$167K,58,52,236,94,100.0%
,October 2012,$168K,48,51,225,85,99.9%
,November 2012,$185K,43,46,217,78,101.1%
,December 2012,$181K,39,38,213,102,99.5%
,January 2013,$187K,41,66,230,105,98.6%
,February 2013,$190K,51,59,227,89,100.8%
,March 2013,$191K,45,84,252,80,99.7%
,April 2013,$184K,79,113,278,75,99.6%
,May 2013,$189K,73,105,304,57,99.2%
,June 2013,$200K,64,85,312,73,99.9%
,July 2013,$209K,67,102,337,71,99.4%
,August 2013,$199K,65,84,328,83,101.0%
,September 2013,$211K,58,77,321,97,101.3%
,October 2013,$192K,56,63,289,91,100.5%
,November 2013,$207K,54,54,251,110,101.1%
,December 2013,$197K,40,42,240,116,99.6%
,January 2014,$191K,55,72,242,151,100.5%
,February 2014,$209K,38,68,263,103,99.6%
,March 2014,$203K,61,96,288,69,98.7%
,April 2014,$206K,70,79,283,82,99.4%
,May 2014,$210K,73,80,281,77,99.8%
,June 2014,$205K,55,100,308,81,99.8%
,July 2014,$219K,58,96,325,78,99.5%
,August 2014,$212K,74,111,351,98,99.7%
,September 2014,$210K,75,75,330,79,99.7%
,October 2014,$210K,54,76,322,87,100.2%
,November 2014,$221K,56,46,301,87,98.6%
,December 2014,$215K,53,46,265,90,99.0%
,January 2015,$201K,37,89,297,96,99.0%
,February 2015,$217K,52,93,319,105,101.7%
,March 2015,$238K,97,99,307,84,100.2%
,April 2015,$225K,82,113,265,67,99.7%
,May 2015,$248K,79,100,230,59,101.3%
,June 2015,$225K,87,95,216,27,99.9%
,July 2015,$215K,93,125,225,41,99.5%
,August 2015,$215K,108,90,212,30,99.9%
,September 2015,$225K,82,80,204,34,101.2%
,October 2015,$215K,70,51,168,40,101.1%
,November 2015,$222K,54,63,172,37,102.1%
,December 2015,$239K,57,58,165,51,100.5%
,January 2016,$229K,39,71,158,35,100.8%
,February 2016,$243K,55,93,162,23,100.4%
,March 2016,$237K,80,110,172,22,101.1%
,April 2016,$245K,69,108,182,20,100.1%
,May 2016,$240K,70,124,193,14,101.4%
,June 2016,$244K,111,122,199,13,100.5%
,July 2016,$236K,99,121,199,14,100.6%
,August 2016,$241K,108,108,193,23,101.6%
,September 2016,$238K,86,87,188,25,100.7%
,October 2016,$245K,85,85,191,21,100.0%
,November 2016,$255K,64,79,183,26,102.6%
,December 2016,$242K,83,51,151,33,100.9%
,January 2017,$248K,51,96,153,28,100.0%
,February 2017,$252K,74,92,140,34,100.9%
,March 2017,$250K,99,122,155,22,101.3%
,April 2017,$268K,83,102,151,16,101.6%
,May 2017,$270K,82,117,147,20,101.0%
,June 2017,$281K,110,143,185,20,100.6%
,July 2017,$259K,92,136,236,9,101.2%
,August 2017,$256K,89,143,249,17,101.2%
,September 2017,$260K,109,108,225,35,100.4%
,October 2017,$285K,111,86,188,29,100.1%
,November 2017,$278K,107,65,168,35,100.3%
,December 2017,$269K,76,49,151,33,100.2%
,January 2018,$294K,53,84,136,53,100.2%
,February 2018,$278K,73,90,140,23,100.4%
,March 2018,$317K,82,115,145,17,101.8%
,April 2018,$295K,93,117,157,16,101.1%
,May 2018,$286K,119,133,183,12,100.8%
,June 2018,$315K,103,116,187,20,101.2%
,July 2018,$311K,113,118,189,23,100.8%
,August 2018,$317K,100,110,191,29,100.5%
,September 2018,$293K,78,112,220,21,99.9%
,October 2018,$290K,88,126,260,25,99.7%
,November 2018,$302K,76,93,250,32,100.4%
,December 2018,$304K,59,55,236,35,99.5%
,January 2019,$292K,60,133,265,42,100.2%
,February 2019,$306K,76,92,249,57,99.8%
,March 2019,$315K,97,148,252,36,99.9%
,April 2019,$300K,112,144,251,27,100.1%
,May 2019,$306K,119,150,244,36,100.3%
,June 2019,$315K,124,144,259,26,100.2%
,July 2019,$320K,157,139,254,37,100.6%
,August 2019,$326K,142,127,254,38,100.8%
,September 2019,$324K,91,113,257,45,100.6%
,October 2019,$330K,94,115,263,42,100.1%
,November 2019,$330K,88,76,219,40,100.4%
,December 2019,$334K,92,50,185,42,100.8%
,January 2020,$337K,62,130,196,54,100.8%
,February 2020,$340K,91,106,187,48,100.7%
,March 2020,$333K,113,178,236,24,100.5%
,April 2020,$350K,86,125,235,18,101.3%
,May 2020,$332K,123,168,249,17,100.7%
,June 2020,$354K,148,152,242,28,101.0%
,July 2020,$345K,163,145,208,23,100.7%
,August 2020,$347K,151,142,190,14,101.7%
,September 2020,$370K,135,99,155,13,102.0%
,October 2020,$385K,136,121,147,17,102.1%
,November 2020,$368K,115,90,136,7,101.7%
,December 2020,$387K,94,58,121,8,102.1%
,January 2021,$416K,74,85,119,13,102.2%
,February 2021,$385K,74,80,125,8,102.2%
,March 2021,$400K,85,106,115,5,104.3%
,April 2021,$424K,133,118,123,6,104.4%
,May 2021,$458K,109,141,129,7,104.8%
,June 2021,$464K,144,152,135,7,104.0%
,July 2021,$465K,118,143,155,7,103.9%
,August 2021,$465K,139,150,153,8,102.8%
,September 2021,$485K,133,135,159,10,101.8%
,October 2021,$480K,121,133,153,15,101.6%
,November 2021,$485K,117,91,120,12,101.2%
,December 2021,$516K,125,76,100,14,101.4%
,January 2022,$519K,86,84,80,16,101.3%
,February 2022,$531K,70,112,102,7,101.9%
,March 2022,$534K,122,145,122,7,102.5%
,April 2022,$555K,128,181,169,7,103.0%
,May 2022,$558K,131,169,208,7,102.5%
,June 2022,$573K,140,185,277,15,101.5%
,July 2022,$550K,102,153,342,16,100.3%
,August 2022,$544K,96,121,324,22,99.9%
,September 2022,$505K,115,103,314,43,99.3%
,October 2022,$476K,71,107,314,67,100.4%
,November 2022,$486K,63,54,262,49,99.0%
,December 2022,$505K,53,49,235,54,99.0%
,January 2023,$489K,45,76,203,87,99.5%
,February 2023,$483K,74,79,180,71,98.9%
,March 2023,$504K,94,97,164,42,99.6%
,April 2023,$475K,79,98,170,36,99.4%
,May 2023,$491K,92,88,156,28,99.6%
,June 2023,$504K,69,101,171,32,100.0%
,July 2023,$496K,69,103,188,40,99.8%
,August 2023,$493K,70,105,216,33,99.8%
,September 2023,$504K,63,93,233,38,99.7%
,October 2023,$480K,66,72,215,40,100.0%
,November 2023,$492K,56,74,207,49,99.7%
,December 2023,$479K,76,84,216,43,100.3%
,January 2024,$485K,69,125,216,41,99.9%
,February 2024,$473K,92,128,223,38,100.0%
,March 2024,$490K,103,126,223,34,100.0%
,April 2024,$500K,117,168,249,35,99.9%
,May 2024,$525K,119,127,252,27,100.2%
,June 2024,$490K,110,138,269,32,100.1%
,July 2024,$478K,91,129,280,29,99.7%
,August 2024,$525K,103,148,297,40,99.9%
,September 2024,$500K,121,111,281,43,99.9%
,October 2024,$479K,112,154,312,45,99.8%
,November 2024,$477K,103,97,295,43,99.7%
,December 2024,$491K,95,61,255,40,99.9%
,January 2025,$477K,70,127,247,52,99.7%
,February 2025,$520K,91,141,259,51,99.7%
"Easley, SC",January 2012,$129K,16,36,165,80,96.1%
,February 2012,$102K,18,39,178,188,94.0%
,March 2012,$128K,19,53,186,134,92.5%
,April 2012,$98K,27,52,201,88,94.8%
,May 2012,$129K,31,37,192,98,97.8%
,June 2012,$126K,27,35,179,52,95.6%
,July 2012,$134K,28,47,189,53,94.9%
,August 2012,$125K,26,43,203,103,91.8%
,September 2012,$130K,24,39,209,90,96.3%
,October 2012,$114K,30,36,198,112,94.6%
,November 2012,$143K,25,24,178,115,95.0%
,December 2012,$108K,27,30,179,90,88.5%
,January 2013,$159K,16,37,178,127,95.1%
,February 2013,$130K,25,40,178,78,96.0%
,March 2013,$125K,31,44,185,142,96.2%
,April 2013,$129K,25,50,202,118,95.3%
,May 2013,$134K,31,41,188,87,94.2%
,June 2013,$148K,27,48,188,50,95.0%
,July 2013,$136K,42,60,199,60,96.4%
,August 2013,$147K,38,42,194,103,94.7%
,September 2013,$139K,28,47,201,75,95.1%
,October 2013,$124K,40,43,201,85,92.8%
,November 2013,$175K,23,33,199,118,97.3%
,December 2013,$168K,19,29,195,102,97.1%
,January 2014,$150K,27,53,202,89,97.8%
,February 2014,$163K,21,33,190,124,94.8%
,March 2014,$129K,37,37,181,72,98.4%
,April 2014,$130K,29,38,180,54,98.8%
,May 2014,$158K,28,45,188,142,96.4%
,June 2014,$163K,33,40,180,72,97.5%
,July 2014,$159K,32,55,191,60,96.2%
,August 2014,$138K,30,54,194,68,96.2%
,September 2014,$120K,41,47,196,60,95.2%
,October 2014,$143K,34,36,185,79,96.6%
,November 2014,$123K,34,25,172,89,92.6%
,December 2014,$179K,36,21,167,127,96.1%
,January 2015,$135K,31,44,166,113,93.9%
,February 2015,$144K,24,31,164,125,97.0%
,March 2015,$152K,51,51,172,101,96.5%
,April 2015,$157K,33,36,159,112,96.4%
,May 2015,$163K,37,52,170,83,96.7%
,June 2015,$157K,36,41,165,86,95.9%
,July 2015,$147K,44,46,159,105,94.7%
,August 2015,$175K,35,54,158,61,97.9%
,September 2015,$148K,42,34,153,69,96.0%
,October 2015,$158K,39,43,152,90,97.5%
,November 2015,$155K,17,28,152,66,94.4%
,December 2015,$151K,32,31,139,87,96.4%
